cod_zona,glosa_zona,votos_2016,votos_2017,votos_2020,electores_2016,electores_2017,electores_2020,electores_2021,part_2016,part_2017,part_2020
2700,LONQUIMAY,6184,4455,3349,11560,11634,11965,12215,0.5349480968858131,0.3829293450232079,0.2798997074801504
2659,LOS ALAMOS,9657,8096,6650,17032,17286,17835,18060,0.5669915453264444,0.4683558949438852,0.3728623493131483
2549,LOS ANDES,19914,26340,31276,54356,54875,56032,55969,0.3663624990801384,0.48,0.5581810394060537
2661,LOS ANGELES,46310,66454,68740,153106,156194,161632,162845,0.302470184055491,0.4254580841773692,0.425287071866957
2813,LOS LAGOS,7961,8105,7518,18099,18267,18879,19069,0.4398585557213106,0.4436962829145454,0.3982202447163515
2712,LOS MUERMOS,7279,7053,5115,15456,15801,16238,16339,0.4709497929606625,0.4463641541674578,0.3150018475181673
2701,LOS SAUCES,4714,3606,2495,7367,7396,7360,7531,0.6398805483914755,0.4875608436992969,0.3389945652173913
2534,LOS VILOS,7463,7747,8875,17288,17434,18062,18266,0.4316867191115225,0.4443615922909258,0.4913630827150924
2647,LOTA,24335,23717,22990,48045,48093,47952,47936,0.5065043188677282,0.4931486910777036,0.4794377711044378
2702,LUMACO,5304,4363,2979,9016,9068,9145,9284,0.5882874889086069,0.4811424790471989,0.3257517769272827
2586,MACHALI,13462,17284,20937,31590,32912,35712,37103,0.4261475150364039,0.5251579970831308,0.5862735215053764
2775,MACUL,30936,51066,59968,99299,99498,101724,101340,0.3115439228995257,0.513236446963758,0.5895167315481106
2814,MAFIL,3480,3109,2853,6776,6854,6998,7155,0.51357733175915,0.4536037350452291,0.4076879108316662
2776,MAIPU,96840,192085,243011,370091,376042,389595,389758,0.2616653741917528,0.5108073034395094,0.6237528715717604
2587,MALLOA,6923,5862,5435,11722,11885,12101,12310,0.5905988739123017,0.49322675641565,0.4491364350053715
2599,MARCHIGUE,3931,3024,2926,6523,6570,6787,7068,0.6026368235474475,0.4602739726027397,0.4311183144246353
2516,MARIA ELENA,2264,1632,2138,6656,6607,6451,6370,0.3401442307692308,0.2470107461782957,0.3314214850410789
2803,MARIA PINTO,5384,4869,5473,10249,10440,11262,11495,0.5253195433700849,0.4663793103448276,0.4859705203338661
2815,MARIQUINA,8811,7901,7772,17661,17904,18622,18993,0.4988958722609139,0.4412980339588919,0.417355815701858
2616,MAULE,9340,9821,10877,19549,20151,22765,24526,0.4777737991713131,0.4873703538285941,0.4777948605315177
