COD_PACTO,COD_ZONA,LETRA_PACTO,GLOSA_PACTO,COD_IMFD,GLOSA_IMFD,COD_SERVEL,GLOSA_SERVEL
231,6013,ZR,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,5,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
231,6023,ZR,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,5,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
215,6004,XA,PARTIDO ECOLOGISTA VERDE,4,PARTIDO ECOLOGISTA VERDE,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
215,6005,XA,PARTIDO ECOLOGISTA VERDE,4,PARTIDO ECOLOGISTA VERDE,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
215,6008,XA,PARTIDO ECOLOGISTA VERDE,4,PARTIDO ECOLOGISTA VERDE,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
215,6009,XA,PARTIDO ECOLOGISTA VERDE,4,PARTIDO ECOLOGISTA VERDE,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
215,6010,XA,PARTIDO ECOLOGISTA VERDE,4,PARTIDO ECOLOGISTA VERDE,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
215,6011,XA,PARTIDO ECOLOGISTA VERDE,4,PARTIDO ECOLOGISTA VERDE,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
215,6012,XA,PARTIDO ECOLOGISTA VERDE,4,PARTIDO ECOLOGISTA VERDE,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
215,6013,XA,PARTIDO ECOLOGISTA VERDE,4,PARTIDO ECOLOGISTA VERDE,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
215,6014,XA,PARTIDO ECOLOGISTA VERDE,4,PARTIDO ECOLOGISTA VERDE,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
215,6015,XA,PARTIDO ECOLOGISTA VERDE,4,PARTIDO ECOLOGISTA VERDE,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
215,6016,XA,PARTIDO ECOLOGISTA VERDE,4,PARTIDO ECOLOGISTA VERDE,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
215,6019,XA,PARTIDO ECOLOGISTA VERDE,4,PARTIDO ECOLOGISTA VERDE,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
